model,accuracy,precision,recall,specificity,f1,roc_auc
mobilenetv2,0.9704886308659894,0.9845540607872446,0.9559748427672956,0.9850024189646831,0.970054000981836,0.9955323466017116
resnet18,0.9656507014997581,0.9670063076176614,0.9641993226898887,0.9671020803096275,0.9656007751937985,0.9942394234367835
simple_cnn,0.9603289791969037,0.9680275454992622,0.9521044992743106,0.9685534591194969,0.96,0.9902618824764675
