epoch,train_loss,val_loss,train_acc,val_acc,lr
1,0.25473248944065,0.4172946079001083,0.9040435458786936,0.7733430091920658,0.001
2,0.16375157643069005,0.15216272052901922,0.948729911871436,0.9516207063376875,0.001
3,0.1525009126259046,0.15075634212296657,0.9530326594090203,0.9545234639574263,0.001
4,0.15006490671237618,0.1534040306406893,0.9527734577501296,0.9508950169327528,0.001
5,0.14710398802428495,0.14087612336897076,0.954639709694142,0.9545234639574263,0.001
6,0.14618538018178914,0.16459694244490192,0.9560393986521514,0.9385582970488631,0.001
7,0.1450206384796624,0.16118528573162383,0.9546915500259202,0.9484760522496372,0.001
8,0.1425827229259359,0.13836891417867847,0.9550544323483671,0.9554910498306725,0.001
9,0.13661307862512245,0.1323673468737367,0.9570762052877139,0.9564586357039188,0.001
10,0.13678622032622403,0.13762635324937916,0.9565059616381545,0.9533139816158684,0.001
11,0.1339884705992175,0.1342414514016113,0.9567651632970451,0.9547653604257378,0.001
12,0.13349038124115373,0.13602008495027454,0.9573872472783825,0.9547653604257378,0.001
13,0.1306269332140823,0.1979037339366111,0.9579056505961638,0.9218674407353653,0.001
14,0.12631566627709095,0.1280264106849916,0.9594090202177294,0.9562167392356071,0.0005
15,0.1238794938857658,0.12523634300666786,0.9594090202177294,0.9559748427672956,0.0005
16,0.12285076176188596,0.13260916029709113,0.9595645412130638,0.9533139816158684,0.0005
17,0.1214276063945888,0.13335483258091774,0.9614307931570762,0.9567005321722303,0.0005
18,0.12210744140353952,0.12655509962917932,0.9605495075168481,0.9579100145137881,0.0005
19,0.12104055197545442,0.12091247141577509,0.9593571798859513,0.9583938074504113,0.0005
20,0.11817785033356532,0.12535159067797327,0.9611197511664075,0.9576681180454766,0.0005
