epoch,train_loss,val_loss,train_acc,val_acc,lr
1,0.15557141412163472,0.13349834197693305,0.9489372731985485,0.9603289791969037,0.001
2,0.13428123807462156,0.1627164807514863,0.956298600311042,0.942428640541848,0.001
3,0.12958152760737543,0.1237686301018803,0.9589942975635044,0.9596032897919691,0.001
4,0.12389625164435403,0.14542653687734447,0.9595645412130638,0.9516207063376875,0.001
5,0.1186878242197279,0.12625998930837085,0.9621047174701918,0.9598451862602806,0.001
6,0.11835780460802676,0.16719535494923418,0.9616899948159668,0.9545234639574263,0.001
7,0.11799482835457695,0.13013119890341507,0.960912389839295,0.9557329462989841,0.001
8,0.10594851462071024,0.10511464019313664,0.964282011404873,0.9634736332849541,0.0005
9,0.10317681667222577,0.1068414403589728,0.9644375324002074,0.9596032897919691,0.0005
10,0.10203929541641224,0.1133413868404323,0.9650077760497667,0.9617803580067731,0.0005
11,0.10007268780327758,0.10026735782147492,0.9666148263348885,0.9639574262215772,0.0005
12,0.09903642494345404,0.10670001614509024,0.9664074650077761,0.9600870827285921,0.0005
13,0.09817813938148533,0.1035231557959915,0.9671850699844479,0.9658925979680697,0.0005
14,0.0967281922613048,0.10819789512064011,0.9668740279937792,0.9634736332849541,0.0005
15,0.09442534104970653,0.10396104936416332,0.9680145152928978,0.9627479438800194,0.0005
16,0.08451869407231292,0.08842378028230963,0.9710730948678071,0.9666182873730044,0.00025
17,0.08120152907027921,0.0938639859495442,0.9715396578538102,0.9663763909046927,0.00025
18,0.07804398790422871,0.09147668615466567,0.9724209434940384,0.9641993226898887,0.00025
19,0.07778981262349662,0.08401921060590509,0.972680145152929,0.967343976777939,0.00025
20,0.0776303418857437,0.092624104395689,0.9724209434940384,0.9661344944363812,0.00025
