epoch,train_loss,val_loss,train_acc,val_acc,lr
1,0.1541595193289487,0.1006496982449818,0.9481596682218766,0.9649250120948234,0.001
2,0.11141301407259076,0.09193405189452739,0.9613789528252981,0.9683115626511853,0.001
3,0.10438313254224259,0.0972392041214535,0.9641783307413168,0.9680696661828737,0.001
4,0.09811882431053509,0.08642421902869712,0.9652669777086573,0.9661344944363812,0.001
5,0.09684352036613822,0.08907249067149908,0.9657853810264385,0.9671020803096275,0.001
6,0.09648399194012101,0.0792621409454724,0.9679108346293416,0.9692791485244315,0.001
7,0.09378554367770751,0.09010445702565094,0.9689476412649041,0.96903725205612,0.001
8,0.09261446035683865,0.10488119825583815,0.9679626749611198,0.9663763909046927,0.001
9,0.08997184367239197,0.09139335747352244,0.9691550025920166,0.967343976777939,0.001
10,0.08829063044145448,0.07651695633964027,0.9699844479004666,0.9738751814223512,0.001
11,0.08649024786171733,0.08389266518345188,0.9706583722135822,0.9721819061441703,0.001
12,0.08819793228846007,0.0847626217340408,0.9699844479004666,0.9700048379293662,0.001
13,0.08234368896255721,0.07767384565905291,0.972680145152929,0.9721819061441703,0.001
14,0.08389299773162606,0.09583134294623157,0.9714878175220322,0.9680696661828737,0.001
15,0.07200088550618132,0.07022739830145268,0.9758942457231726,0.9748427672955975,0.0005
16,0.06700093838574048,0.08156723769433007,0.9757905650596164,0.9719400096758587,0.0005
17,0.06555044982923187,0.0761733727000679,0.976464489372732,0.9716981132075472,0.0005
18,0.06626159058040816,0.07929583766236793,0.976464489372732,0.975084663763909,0.0005
19,0.06392845888098267,0.07943634361381915,0.9775012960082945,0.9726656990807934,0.0005
20,0.05759145135418191,0.07146896709461373,0.9795230689476413,0.9743589743589743,0.00025
